"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0653","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08380","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0654","S-adenosylmethionine decarboxylase proenzyme","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08390","S-adenosylmethionine decarboxylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0655","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08400","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0657","probable ATPase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08430","ATPase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0658","probable short-chain dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08440","short chain alcohol dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0662","N-acetyl-gamma-glutamyl-phosphate reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08480","N-acetyl-gamma-glutamyl-phosphate reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0663","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08490","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0666","1,6-Anhydro-N-acetylmuramic acid kinase, AnmK","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08520","anhydro-N-acetylmuramic acid kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0668","tyrosyl-tRNA synthetase 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_08560","tyrosyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0674","VreA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55560","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0676","sigma factor regulator, VreR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55540","transmembrane sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0679","HxcP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55510","HxcP",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0683","HxcY","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55470","HxcY",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0686","HxcR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55440","HxcR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0688","low-molecular-weight alkaline phosphatase A, LapA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55410","LapC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0690","phosphate depletion regulated TPS partner A, PdtA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55400","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0691","prevent-host-death protein A","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55390","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0693","transport protein ExbB2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55360","transport protein ExbB2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0694","transport protein ExbD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55340","transport protein ExbD",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0695","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0696","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55320","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0697","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55300","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0698","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55290","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0699","probable peptidyl-prolyl cis-trans isomerase, PpiC-type","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55280","peptidyl-prolyl cis-trans isomerase, PpiC-type",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0700","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55260","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0701","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55250","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0702","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55230","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0704","probable amidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55200","amidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0706","chloramphenicol acetyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55170","chloramphenicol acetyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0708","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55150","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0710","lactoylglutathione lyase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55130","lactoylglutathione lyase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0711","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_55117","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0717","hypothetical protein of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49000","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0718","hypothetical protein of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48990","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0722","hypothetical protein of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48950","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0723","coat protein B of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48940","coat protein B of bacteriophage Pf1)",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0724","probable coat protein A of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48930","coat protein A of bacteriophage Pf1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0726","hypothetical protein of bacteriophage Pf1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48910","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0727","Pf replication initiator protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_48890","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0731","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54820","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0733","probable pseudouridylate synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54800","pseudouridylate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0734","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54790","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0735","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0737","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54740","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0738","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54730","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0744","probable enoyl-CoA hydratase/isomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54660","enoyl-CoA hydratase/isomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0745","DspI","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54640","DspI",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0746","probable acyl-CoA dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54630","acyl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0747","probable aldehyde dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54620","aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0752","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54570","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0755","cis-aconitate porin OpdH","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54520","porin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0756","probable two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54510","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0757","probable two-component sensor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54500","two-component sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0758","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54490","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0762","sigma factor AlgU","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54430","RNA polymerase sigma factor AlgU",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0767","GTP-binding protein LepA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54370","GTP-binding protein LepA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0769","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54340","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0770","ribonuclease III","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54330","ribonuclease III",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0773","pyridoxal phosphate biosynthetic protein PdxJ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54290","pyridoxine 5'-phosphate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0774","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54270","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0778","inhibitor of cysteine peptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54220","inhibitor of cysteine peptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0782","proline dehydrogenase PutA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54170","bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0784","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54130","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0787","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54090","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0788","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54080","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0789","probable amino acid permease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54040","amino acid permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0791","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54010","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0792","propionate catabolic protein PrpD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_54000","2-methylcitrate dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0795","citrate synthase 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53950","methylcitrate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0797","PmiR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53920","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0799","probable helicase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53900","helicase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0801","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53880","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0804","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53850","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0805","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53840","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0806","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53830","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0809","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53800","manganese transport protein MntH",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0810","probable haloacid dehalogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53790","haloacid dehalogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0812","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0814","Rid1 subfamily protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53740","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0817","probable ring-cleaving dioxygenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53700","ring-cleaving dioxygenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0818","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53690","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0820","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53670","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0821","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53660","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0822","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53650","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0824","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53640","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0825","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53630","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0829","probable hydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53540","hydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0830","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53530","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0832","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0834","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53490","acyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0835","phosphate acetyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53480","phosphate acetyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0838","probable glutathione peroxidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53420","glutathione peroxidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0840","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53400","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0841","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53390","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0842","probable glycosyl transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53380","glycosyl transferase family protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0843","phospholipase accessory protein PlcR precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53370","phospholipase accessory protein PlcR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0845","CerN","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53340","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0846","probable sulfate uptake protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53330","sulfate transport protein CysZ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0848","alkyl hydroperoxide reductase , AhpB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53300","alkyl hydroperoxide reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0849","thioredoxin reductase 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53290","thioredoxin reductase 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0850","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53270","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0853","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53230","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0854","fumarate hydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53220","fumarate hydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0855","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53210","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0857","morphogene protein BolA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53190","morphogene protein BolA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0858","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53180","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0859","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53160","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0862","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53120","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0863","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53110","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0864","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53090","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0866","aromatic amino acid transport protein AroP2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53050","aromatic amino acid transport protein AroP2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0867","membrane-bound lysozyme inhibitor of c-type lysozyme MliC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53040","lysozyme inhibitor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0868","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53030","peptidyl-tRNA hydrolase domain-containing protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0869","D-alanyl-D-alanine-endopeptidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53020","D-alanyl-D-alanine endopeptidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0871","pterin-4-alpha-carbinolamine dehydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_53000","pterin-4-alpha-carbinolamine dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0874","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52960","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0875","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52940","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0876","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52930","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0878","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52910","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0882","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52870","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0883","probable acyl-CoA lyase beta chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52850","acyl-CoA lyase subunit beta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0884","probable C4-dicarboxylate-binding periplasmic protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52840","C4-dicarboxylate-binding periplasmic protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0887","acetyl-coenzyme A synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52800","acetyl-CoA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0889","arginine/ornithine transport protein AotQ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52780","arginine/ornithine transport protein AotQ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0890","arginine/ornithine transport protein AotM","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52770","arginine/ornithine transport protein AotM",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0892","arginine/ornithine transport protein AotP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52750","arginine/ornithine transport protein AotP",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0894","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52730","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0901","N-Succinylglutamate desuccinylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52630","succinylglutamate desuccinylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0902","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52610","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0903","alanyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52600","alanyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0905","RsmA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52570","carbon storage regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0906","lysis phenotype repressor, AlpR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52530","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0908","AlpB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0910","AlpD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52490","hypothetical protein",""
